1	(0-1);(1-0)	30.4
3	(0-2);(2-0)	36.0
5	(0-3);(3-0)	44.6
7	(0-4);(4-0)	50.0
9	(0-5);(5-0)	41.2
11	(0-6);(6-0)	22.2
13	(0-7);(7-0)	42.4
15	(0-8);(8-0)	52.4
17	(0-9);(9-0)	64.0
19	(0-10);(10-0)	50.8
21	(0-11);(11-0)	67.0
23	(0-12);(12-0)	30.0
25	(0-13);(13-0)	22.2
27	(0-14);(14-0)	64.0
29	(0-15);(15-0)	60.8
31	(0-16);(16-0)	58.2
33	(0-17);(17-0)	60.8
35	(0-18);(18-0)	31.6
37	(0-19);(19-0)	64.0
39	(0-20);(20-0)	63.2
41	(0-21);(21-0)	36.0
43	(0-22);(22-0)	53.8
45	(0-23);(23-0)	72.0
47	(0-24);(24-0)	60.0
49	(0-25);(25-0)	67.0
51	(0-26);(26-0)	22.2
53	(0-27);(27-0)	10.0
55	(0-28);(28-0)	12.6
57	(0-29);(29-0)	59.6
59	(0-30);(30-0)	50.8
61	(0-31);(31-0)	34.8
63	(0-32);(32-0)	68.0
65	(0-33);(33-0)	49.4
67	(0-34);(34-0)	72.0
69	(0-35);(35-0)	82.0
71	(0-36);(36-0)	82.8
73	(0-37);(37-0)	42.4
75	(0-38);(38-0)	84.8
77	(0-39);(39-0)	67.8
79	(0-40);(40-0)	22.2
81	(0-41);(41-0)	57.6
83	(0-42);(42-0)	50.8
85	(0-43);(43-0)	68.2
87	(0-44);(44-0)	63.6
89	(0-45);(45-0)	58.2
91	(0-46);(46-0)	70.8
93	(0-47);(47-0)	68.4
95	(0-48);(48-0)	55.6
97	(0-49);(49-0)	87.8
99	(0-50);(50-0)	33.8
101	(0-51);(51-0)	53.8
103	(0-52);(52-0)	22.6
105	(0-53);(53-0)	8.8
107	(0-54);(54-0)	45.6
109	(0-55);(55-0)	60.8
111	(0-56);(56-0)	58.4
113	(0-57);(57-0)	46.2
115	(0-58);(58-0)	18.0
117	(0-59);(59-0)	35.6
