BAPNodeID 	 parentNodeID 	 objectiveIncumbentSolution 	 nodeBound 	 nodeValue 	 cgIterations 	 t_master 	 t_pricing 	 nrGenColumns 	 solutionStatus 	 nodesInQueue 	 decision 	 fixedArcs 	 removedArcs
0	-1	1.7976931348623157E308	769.2333333333331	769.23	39	29	372	412	FRACTIONAL	0	unknown		
1	0	783.3999999999999	772.4166666666665	772.42	14	15	115	69	FRACTIONAL	1	RemoveArc		1-0Rem || 
2	0	783.3999999999999	772.6999999999998	772.70	9	10	52	34	FRACTIONAL	2	FixArc	1-0 || 	
3	1	783.3999999999999	772.75	772.75	6	8	36	21	FRACTIONAL	3	RemoveArc		20-50Rem || 1-0Rem || 
4	1	783.3999999999999	776.9333333333332	776.93	16	11	86	66	FRACTIONAL	4	FixArc	20-50 || 	1-0Rem || 
5	2	783.3999999999999	773.8	773.80	16	9	63	73	INTEGER	5	RemoveArc	1-0 || 	35-34Rem || 
6	2	773.8	772.9	772.90	15	14	74	48	INTEGER	4	FixArc	35-34 || 1-0 || 	
7	3	772.9	773.48	773.48	5	8	32	16	PRUNED	3	RemoveArc		20-50Rem || 28-50Rem || 1-0Rem || 
8	3	772.9	773.4499999999999	773.45	3	3	20	7	PRUNED	2	FixArc	28-50 || 	20-50Rem || 1-0Rem || 
9	4	772.9	776.9333333333332	-1.00	0	0	0	0	PRUNED	1	unknown	unknown	unknown
10	4	772.9	776.9333333333332	-1.00	0	0	0	0	PRUNED	0	unknown	unknown	unknown
